dataset,group,head,metric,mean,std,ci95_low,ci95_high,n
BoT-IoT,detector,,binary_accuracy,0.9998386315959336,0.0,0.9998386315959336,0.9998386315959336,5
BoT-IoT,detector,,binary_f1_macro,0.9988719322865689,0.0,0.9988719322865689,0.9988719322865689,5
BoT-IoT,detector,,binary_auroc,0.9999994017252949,7.231258967440076e-08,0.9999993119373557,0.9999994915132341,5
BoT-IoT,novelty_head,isolation_forest,zero_day_auroc,0.7570162139412693,0.014877467526042307,0.7385433981297369,0.7754890297528017,5
BoT-IoT,novelty_head,isolation_forest,zero_day_auprc,0.5463069609596829,0.006957918673979715,0.5376675638397725,0.5549463580795932,5
BoT-IoT,novelty_head,isolation_forest,fpr_at_95_tpr,0.9149588510569631,0.03806844859416294,0.8676906289701202,0.962227073143806,5
BoT-IoT,novelty_head,isolation_forest,known_false_positive_rate,0.09707923188639664,0.0012250543961492303,0.09555812594685688,0.0986003378259364,5
BoT-IoT,novelty_head,isolation_forest,zero_day_true_positive_rate,0.7232796486090776,0.0,0.7232796486090776,0.7232796486090776,5
BoT-IoT,novelty_head,isolation_forest,balanced_accuracy,0.8131002083613404,0.0006125271980746326,0.8123396553915706,0.8138607613311103,5
BoT-IoT,novelty_head,autoencoder,zero_day_auroc,0.9185081053955404,0.02312281446477833,0.8897973391374798,0.947218871653601,5
BoT-IoT,novelty_head,autoencoder,zero_day_auprc,0.36475464166959437,0.025480521422953147,0.3331163955632536,0.3963928877759351,5
BoT-IoT,novelty_head,autoencoder,fpr_at_95_tpr,0.29002205368188905,0.16664639304502601,0.08310322700736572,0.4969408803564124,5
BoT-IoT,novelty_head,autoencoder,known_false_positive_rate,0.09771394760905815,0.0010308790488657432,0.09643394220757902,0.09899395301053728,5
BoT-IoT,novelty_head,autoencoder,zero_day_true_positive_rate,0.686090775988287,0.074775283281756,0.5932449987818427,0.7789365531947314,5
BoT-IoT,novelty_head,autoencoder,balanced_accuracy,0.7941884141896145,0.03748687950813976,0.7476423054993548,0.8407345228798742,5
BoT-IoT,novelty_head,ocsvm,zero_day_auroc,0.9338052000633503,0.011398655001468512,0.9196519005200816,0.947958499606619,5
BoT-IoT,novelty_head,ocsvm,zero_day_auprc,0.47663646377963725,0.023300555999405406,0.4477050022570448,0.5055679253022297,5
